ProductID,ProductName,ListPrice
771,"Mountain-100 Silver, 38",3399.99
772,"Mountain-100 Silver, 42",3399.99
773,"Mountain-100 Silver, 44",3399.99
774,"Mountain-100 Silver, 48",3399.99
775,"Mountain-100 Black, 38",3374.99
776,"Mountain-100 Black, 42",3374.99
777,"Mountain-100 Black, 44",3374.99
778,"Mountain-100 Black, 48",3374.99
779,"Mountain-200 Silver, 38",2319.99
780,"Mountain-200 Silver, 42",2319.99
781,"Mountain-200 Silver, 46",2319.99
782,"Mountain-200 Black, 38",2294.99
783,"Mountain-200 Black, 42",2294.99
784,"Mountain-200 Black, 46",2294.99
785,"Mountain-300 Black, 38",1079.99
786,"Mountain-300 Black, 40",1079.99
787,"Mountain-300 Black, 44",1079.99
788,"Mountain-300 Black, 48",1079.99
980,"Mountain-400-W Silver, 38",769.49
981,"Mountain-400-W Silver, 40",769.49
982,"Mountain-400-W Silver, 42",769.49
983,"Mountain-400-W Silver, 46",769.49
984,"Mountain-500 Silver, 40",564.99
985,"Mountain-500 Silver, 42",564.99
986,"Mountain-500 Silver, 44",564.99
987,"Mountain-500 Silver, 48",564.99
988,"Mountain-500 Silver, 52",564.99
989,"Mountain-500 Black, 40",539.99
990,"Mountain-500 Black, 42",539.99
991,"Mountain-500 Black, 44",539.99
992,"Mountain-500 Black, 48",539.99
993,"Mountain-500 Black, 52",539.99
973,"Road-350-W Yellow, 40",1700.99
974,"Road-350-W Yellow, 42",1700.99
975,"Road-350-W Yellow, 44",1700.99
976,"Road-350-W Yellow, 48",1700.99
977,"Road-750 Black, 58",539.99
997,"Road-750 Black, 44",539.99
998,"Road-750 Black, 48",539.99
999,"Road-750 Black, 52",539.99
789,"Road-250 Red, 44",2443.35
790,"Road-250 Red, 48",2443.35
791,"Road-250 Red, 52",2443.35
792,"Road-250 Red, 58",2443.35
793,"Road-250 Black, 44",2443.35
794,"Road-250 Black, 48",2443.35
795,"Road-250 Black, 52",2443.35
796,"Road-250 Black, 58",2443.35
797,"Road-550-W Yellow, 38",1120.49
798,"Road-550-W Yellow, 40",1120.49
799,"Road-550-W Yellow, 42",1120.49
800,"Road-550-W Yellow, 44",1120.49
801,"Road-550-W Yellow, 48",1120.49
749,"Road-150 Red, 62",3578.27
750,"Road-150 Red, 44",3578.27
751,"Road-150 Red, 48",3578.27
752,"Road-150 Red, 52",3578.27
753,"Road-150 Red, 56",3578.27
754,"Road-450 Red, 58",1457.99
755,"Road-450 Red, 60",1457.99
756,"Road-450 Red, 44",1457.99
757,"Road-450 Red, 48",1457.99
758,"Road-450 Red, 52",1457.99
759,"Road-650 Red, 58",782.99
760,"Road-650 Red, 60",782.99
761,"Road-650 Red, 62",782.99
762,"Road-650 Red, 44",782.99
763,"Road-650 Red, 48",782.99
764,"Road-650 Red, 52",782.99
765,"Road-650 Black, 58",782.99
766,"Road-650 Black, 60",782.99
767,"Road-650 Black, 62",782.99
768,"Road-650 Black, 44",782.99
769,"Road-650 Black, 48",782.99
770,"Road-650 Black, 52",782.99
978,"Touring-3000 Blue, 44",742.35
979,"Touring-3000 Blue, 50",742.35
953,"Touring-2000 Blue, 60",1214.85
954,"Touring-1000 Yellow, 46",2384.07
955,"Touring-1000 Yellow, 50",2384.07
956,"Touring-1000 Yellow, 54",2384.07
957,"Touring-1000 Yellow, 60",2384.07
958,"Touring-3000 Blue, 54",742.35
959,"Touring-3000 Blue, 58",742.35
960,"Touring-3000 Blue, 62",742.35
961,"Touring-3000 Yellow, 44",742.35
962,"Touring-3000 Yellow, 50",742.35
963,"Touring-3000 Yellow, 54",742.35
964,"Touring-3000 Yellow, 58",742.35
965,"Touring-3000 Yellow, 62",742.35
966,"Touring-1000 Blue, 46",2384.07
967,"Touring-1000 Blue, 50",2384.07
968,"Touring-1000 Blue, 54",2384.07
969,"Touring-1000 Blue, 60",2384.07
